,,,value,value,value,value,value,value,value
tag,,,CurrentAssets,Expenses,Goodwill,Income,Liabilities,LongtermAssets,ShareholdersEquity
fraud,adsh,ddate,,,,,,,
0.0,0000009092-18-000002,20160331.0,0.1,,,147571000.0,,,
0.0,0000009092-18-000002,20160630.0,0.1,,,152616000.0,,,
0.0,0000009092-18-000002,20160930.0,0.115,,,143712000.0,,,
0.0,0000009092-18-000002,20161231.0,1005143000.545,23015000.0,49314000.0,1154961002.23,510660000.0,782326000.0,563867001.0
0.0,0000009092-18-000002,20170331.0,0.115,,,149005000.0,,,
0.0,0000009092-18-000002,20170430.0,800000.0,,,,,,
0.0,0000009092-18-000002,20170630.0,0.115,,,155844000.0,,,
0.0,0000009092-18-000002,20170930.0,70000000.13,,,145022000.0,,,
0.0,0000009092-18-000002,20171231.0,1198942000.62,41793000.0,67424000.0,1193822002.3899999,723050000.0,852575000.0,638502001.0
0.0,0000009346-18-000017,20141231.0,64632000.0,,,,1019372000.0,,399496000.0
0.0,0000009346-18-000017,20151231.0,100496001.0,1229326000.0,,938401000.0,1470086000.0,88389000.0,442858000.0
0.0,0000009346-18-000017,20160331.0,,,,14112000.0,,12452000.0,
0.0,0000009346-18-000017,20160630.0,,,,5969000.0,,3829000.0,
0.0,0000009346-18-000017,20160930.0,,,,4001000.0,,11245000.0,
0.0,0000009346-18-000017,20161231.0,2071921001.04,2146989000.0,,1070244000.0,5344393000.0,1931061000.0,1290895000.0
0.0,0000009346-18-000017,20170331.0,,,,6756000.0,,9986000.0,
0.0,0000009346-18-000017,20170630.0,,,,-12343000.0,,8012000.0,
0.0,0000009346-18-000017,20170930.0,,,,7434000.0,,9971000.0,17500000.0
0.0,0000009346-18-000017,20171231.0,2511521001.08,2626934000.0,,1208854000.0,6417260000.0,2294566000.0,1512729022.12
0.0,0000009984-18-000024,20141231.0,54599000.0,,,,,,1111793000.0
0.0,0000009984-18-000024,20151231.0,3793562008.86,1133737000.0,587992000.0,2617760000.0,328040000.0,580322000.0,1207530000.48
